SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,AMT_ANNUITY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,APARTMENTS_MODE,APARTMENTS_MEDI,BASEMENTAREA_AVG,BASEMENTAREA_MODE,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_AVG,YEARS_BUILD_MODE,YEARS_BUILD_MEDI,COMMONAREA_AVG,COMMONAREA_MODE,COMMONAREA_MEDI,ELEVATORS_AVG,ELEVATORS_MODE,ELEVATORS_MEDI,ENTRANCES_AVG,ENTRANCES_MODE,ENTRANCES_MEDI,FLOORSMAX_AVG,FLOORSMAX_MODE,FLOORSMAX_MEDI,FLOORSMIN_AVG,FLOORSMIN_MODE,FLOORSMIN_MEDI,LANDAREA_AVG,LANDAREA_MODE,LANDAREA_MEDI,LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MEDI,LIVINGAREA_AVG,LIVINGAREA_MODE,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_AVG,NONLIVINGAREA_MODE,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100001,0,Cash loans,F,N,Y,0,63000.0,94500.0,90000.0,3000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.013077,-20800,365243,-1360.0,-4993,,1,0,1,1,0,0,Cleaning staff,2.0,2,2,THURSDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.711047,0.484758,0.8205,0.8182,0.8649,0.8748,0.8748,0.8749,0.4653,0.4539,0.4619,0.3978,0.3863,0.3828,0.5,0.5145,0.5085,0.6946,0.6565,0.7048,0.6376,0.63,0.5912,0.9077,0.8273,0.8585,0.4658,0.4662,0.4871,0.4643,0.448,0.5081,0.8189,0.7583,0.7788,0.712,0.6558,0.6797,0.6627,0.6445,0.6689,0.5243,0.5344,0.5457,,block of flats,,Panel,No,1.0,0.0,1.0,0.0,-749.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100002,0,Cash loans,F,N,Y,0,337500.0,1728000.0,1458000.0,57000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.024418,-11144,-717,-1056.0,-4270,,1,1,0,1,0,0,IT staff,1.0,2,2,MONDAY,10,0,0,0,0,0,0,Construction,,0.599576,0.455227,0.5707,0.5938,0.6053,0.5162,0.5111,0.546,0.3728,0.3967,0.4015,0.5505,0.5304,0.5621,0.2649,0.2794,0.2891,0.4035,0.4509,0.3943,0.2368,0.2234,0.2955,0.3349,0.3823,0.3644,0.5706,0.5944,0.597,0.531,0.5033,0.5226,0.5341,0.5089,0.5348,0.2996,0.3375,0.3088,0.4947,0.4567,0.5208,0.3021,0.2714,0.3033,,block of flats,,,No,2.0,0.0,2.0,0.0,-3863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
100003,0,Cash loans,F,N,Y,0,256500.0,2029500.0,1597500.0,57000.0,Unaccompanied,State servant,Secondary / secondary special,Married,Rented apartment,0.036327,-8123,-1548,-188.0,-1807,,1,1,0,1,0,0,Managers,2.0,3,3,TUESDAY,18,0,0,0,0,0,1,Business Entity Type 3,0.299192,0.595699,,0.6225,0.6084,0.6147,0.6161,0.6101,0.6016,0.6443,0.6679,0.6881,0.423,0.4629,0.4392,0.5598,0.6079,0.5865,0.3488,0.3667,0.3929,0.5826,0.5779,0.5824,0.636,0.5749,0.5884,0.377,0.3358,0.3814,0.3389,0.2871,0.3246,0.5416,0.5147,0.5437,0.6365,0.6038,0.6261,0.5013,0.5403,0.5182,0.3607,0.3823,0.3533,,block of flats,,Panel,,4.0,0.0,4.0,0.0,-485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,2.0
100004,0,Cash loans,M,N,Y,3,180000.0,963000.0,778500.0,53000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.03031,-8734,-2160,-336.0,-2697,,1,1,0,1,0,0,Laborers,5.0,2,2,WEDNESDAY,8,0,0,0,1,0,1,Self-employed,,0.469342,0.591465,0.4428,0.4799,0.4617,0.3409,0.3132,0.3406,0.3695,0.3696,0.3766,0.4089,0.4017,0.4657,0.6422,0.6197,0.6087,0.3305,0.3337,0.3439,0.6669,0.6403,0.7019,0.6729,0.6315,0.6609,0.4155,0.4303,0.4332,0.5607,0.5673,0.5477,0.5928,0.6037,0.5661,0.4964,0.505,0.5086,0.2956,0.3148,0.3403,0.3906,0.4339,0.4003,,block of flats,,,,4.0,0.0,4.0,0.0,-3720.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,1.0
100005,0,Cash loans,M,Y,Y,0,162000.0,436500.0,351000.0,17500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.035154,-8333,-1758,-1498.0,-2173,,1,1,0,1,1,0,,2.0,2,2,WEDNESDAY,11,0,0,0,1,0,1,Medicine,,0.460825,,0.1565,0.1462,0.1419,0.2139,0.1855,0.2116,0.134,0.0969,0.1785,0.2207,0.261,0.2257,0.193,0.1655,0.1751,0.2404,0.2747,0.2618,0.2426,0.258,0.2685,0.2303,0.2164,0.2409,0.1104,0.1974,0.1777,0.104,0.1448,0.1018,0.1634,0.1214,0.1692,0.2232,0.2364,0.2473,0.1692,0.1455,0.1398,0.1003,0.1184,0.128,reg oper spec account,block of flats,,"Stone, brick",No,0.0,0.0,0.0,0.0,-3684.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
100006,0,Revolving loans,M,N,N,0,315000.0,792000.0,693000.0,26000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.045046,-11661,-3963,-1301.0,-2770,,1,1,0,1,0,0,Laborers,1.0,2,2,FRIDAY,10,0,0,0,0,1,0,Business Entity Type 3,,0.25617,,0.5227,0.5462,0.5189,0.4923,0.4783,0.4867,0.4796,0.4795,0.5179,0.2919,0.3296,0.2999,0.346,0.3433,0.3149,0.3455,0.382,0.342,0.5082,0.4921,0.4751,0.2992,0.2629,0.2871,0.3909,0.3382,0.3312,0.3067,0.2828,0.3023,0.3547,0.3287,0.3653,0.2328,0.2788,0.2748,0.4329,0.4158,0.462,0.4206,0.4033,0.4276,reg oper account,block of flats,,,,0.0,0.0,0.0,0.0,-3359.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100007,0,Cash loans,F,N,Y,0,288000.0,1323000.0,1228500.0,88000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022638,-9482,-162,-269.0,-4538,,1,1,1,1,0,0,Managers,2.0,1,1,MONDAY,18,0,1,0,0,0,0,XNA,,0.397705,,0.1704,0.168,0.1808,0.1249,0.1403,0.1028,0.1035,0.0795,0.1167,0.1763,0.2367,0.195,0.1532,0.1034,0.1157,0.1638,0.1244,0.1393,0.1176,0.1436,0.1335,0.1993,0.1593,0.1826,0.2033,0.2294,0.2316,0.1129,0.0926,0.1103,0.1496,0.1637,0.1769,0.074,0.1233,0.1171,0.1957,0.1907,0.2087,0.1542,0.1582,0.1746,,block of flats,,,,1.0,0.0,1.0,0.0,-1581.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,3.0
100008,0,Cash loans,F,N,Y,0,279000.0,999000.0,837000.0,29000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.014086,-23876,365243,-4214.0,-5789,,1,0,0,1,0,0,Sales staff,2.0,1,1,MONDAY,7,0,0,0,0,0,1,XNA,0.302189,0.141508,0.686795,0.2214,0.2779,0.2409,0.247,0.2519,0.2686,0.2524,0.2721,0.2828,0.3029,0.2983,0.3154,0.3061,0.3404,0.3218,0.2253,0.2455,0.1928,0.2226,0.2211,0.2596,0.2314,0.2194,0.2094,0.2088,0.1671,0.198,0.3892,0.3771,0.3538,0.4117,0.3911,0.4084,0.3927,0.3845,0.3863,0.2392,0.2517,0.2668,0.2599,0.2662,0.2481,,,,,,2.0,0.0,2.0,0.0,-4056.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
100009,0,Cash loans,F,N,Y,0,189000.0,940500.0,760500.0,48500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.020487,-9773,-3198,-1630.0,-2345,,1,1,0,1,0,0,,1.0,2,2,MONDAY,9,0,0,0,1,0,0,Business Entity Type 3,,0.472257,,0.2847,0.2677,0.2876,0.1915,0.1826,0.1958,0.2071,0.1937,0.1984,0.141,0.1631,0.1398,0.2833,0.3059,0.2815,0.154,0.1193,0.1729,0.1706,0.1928,0.1801,0.1702,0.1683,0.1626,0.1904,0.2336,0.1419,0.1965,0.2071,0.2288,0.1683,0.1721,0.1327,0.1537,0.1563,0.1306,0.2303,0.2202,0.2591,0.2089,0.2519,0.2197,,,0.1664,Panel,,1.0,1.0,1.0,0.0,-2536.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,
100010,0,Cash loans,F,N,N,0,121500.0,661500.0,598500.0,51500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015155,-8214,-1640,-174.0,-1957,,1,1,1,1,1,0,,2.0,3,3,MONDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.587335,0.463803,0.5166,0.5053,0.5303,0.5633,0.5449,0.5275,0.4776,0.5096,0.5084,0.4511,0.4668,0.4121,0.5197,0.5482,0.5289,0.3941,0.3573,0.4189,0.6179,0.5787,0.5873,0.71,0.6684,0.6814,0.3026,0.3245,0.2996,0.4177,0.3947,0.3747,0.4582,0.4883,0.4909,0.4387,0.4256,0.4666,0.636,0.5705,0.5731,0.49,0.511,0.4759,,,0.4829,Panel,No,1.0,0.0,1.0,0.0,-1024.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0
