SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100001,5000000,Active,currency 1,-2169,0,-454.0,,,0,76000.0,13000.0,22000.0,0.0,Credit card,-900,1700.0
100001,5000001,Closed,currency 1,-1889,0,-91.0,-91.0,28108.0,0,370000.0,0.0,142000.0,0.0,Car loan,-1512,23400.0
100001,5000002,Closed,currency 1,-2887,0,-1934.0,-1934.0,,0,968000.0,0.0,257000.0,0.0,Credit card,-1506,
100001,5000003,Closed,currency 1,-933,0,-660.0,-660.0,,0,36000.0,0.0,7000.0,0.0,Consumer credit,-1326,
100002,5000004,Active,currency 1,-782,0,1397.0,,,0,560000.0,344000.0,141000.0,0.0,Consumer credit,-108,
100002,5000005,Active,currency 1,-1943,0,-1674.0,,,0,40000.0,6000.0,11000.0,0.0,Consumer credit,-2031,
100002,5000006,Closed,currency 1,-268,0,1187.0,1187.0,,0,262000.0,0.0,21000.0,0.0,Consumer credit,-1398,7900.0
100002,5000007,Closed,currency 1,-114,122,228.0,228.0,,0,173000.0,0.0,51000.0,8650.0,Car loan,-2106,
100003,5000008,Closed,currency 1,-1962,0,-1061.0,-1061.0,,0,130000.0,0.0,33000.0,0.0,Credit card,-1946,
100003,5000009,Closed,currency 1,-1029,0,732.0,732.0,,0,175000.0,0.0,38000.0,0.0,Consumer credit,-1866,
100004,5000010,Closed,currency 1,-1447,0,-237.0,-237.0,,0,323000.0,0.0,50000.0,0.0,Consumer credit,-2292,
100004,5000011,Active,currency 1,-1493,0,-459.0,,,0,830000.0,681000.0,24000.0,0.0,Consumer credit,-107,
100005,5000012,Active,currency 1,-2073,0,-849.0,,1523.0,0,162000.0,41000.0,61000.0,0.0,Consumer credit,-1554,
100005,5000013,Closed,currency 1,-862,0,-629.0,-629.0,,0,434000.0,0.0,69000.0,0.0,Credit card,-104,7800.0
100006,5000014,Closed,currency 1,-1032,0,775.0,775.0,3034.0,0,398000.0,0.0,109000.0,0.0,Credit card,-301,
100006,5000015,Closed,currency 1,-2483,0,-1037.0,-1037.0,3629.0,0,350000.0,0.0,126000.0,0.0,Consumer credit,-2045,
100006,5000016,Closed,currency 1,-2866,0,-1374.0,-1374.0,,0,61000.0,0.0,21000.0,0.0,Mortgage,-1666,
100006,5000017,Active,currency 1,-613,0,601.0,,,0,957000.0,411000.0,371000.0,0.0,Consumer credit,-1715,
100006,5000018,Closed,currency 1,-810,0,711.0,711.0,,0,73000.0,0.0,9000.0,0.0,Credit card,-1426,2400.0
100007,5000019,Closed,currency 1,-1235,0,-93.0,-93.0,,0,1878000.0,0.0,648000.0,0.0,Consumer credit,-472,
100007,5000020,Active,currency 1,-1215,0,-634.0,,1589.0,0,217000.0,99000.0,73000.0,0.0,Consumer credit,-961,
100007,5000021,Closed,currency 1,-1682,0,-1215.0,-1215.0,3913.0,0,15000.0,0.0,6000.0,0.0,Credit card,-933,300.0
100007,5000022,Active,currency 1,-1939,0,-207.0,,,0,126000.0,67000.0,21000.0,0.0,Consumer credit,-2200,4400.0
100008,5000023,Closed,currency 1,-2625,0,-861.0,-861.0,,0,94000.0,0.0,18000.0,0.0,Consumer credit,-730,
100008,5000024,Active,currency 1,-1081,0,133.0,,,0,91000.0,18000.0,1000.0,0.0,Credit card,-678,
100008,5000025,Closed,currency 1,-162,0,1614.0,1614.0,,0,192000.0,0.0,7000.0,0.0,Consumer credit,-140,
100010,5000026,Closed,currency 1,-492,0,972.0,972.0,,0,9000.0,0.0,0.0,0.0,Consumer credit,-184,
100010,5000027,Active,currency 1,-2564,0,-943.0,,1986.0,0,110000.0,64000.0,6000.0,0.0,Consumer credit,-1447,2100.0
100011,5000028,Active,currency 1,-828,0,-459.0,,,0,417000.0,33000.0,139000.0,0.0,Car loan,-117,8600.0
100011,5000029,Closed,currency 1,-2587,0,-913.0,-913.0,3525.0,0,111000.0,0.0,36000.0,0.0,Consumer credit,-2496,3400.0
100012,5000030,Closed,currency 1,-2797,0,-1429.0,-1429.0,,0,104000.0,0.0,23000.0,0.0,Consumer credit,-664,
100014,5000031,Closed,currency 1,-1416,0,-48.0,-48.0,,0,545000.0,0.0,116000.0,0.0,Credit card,-1900,
100014,5000032,Active,currency 1,-2385,0,-1845.0,,,0,124000.0,99000.0,5000.0,0.0,Consumer credit,-1603,
100014,5000033,Closed,currency 1,-2609,0,-1176.0,-1176.0,,0,59000.0,0.0,17000.0,0.0,Mortgage,-501,
100014,5000034,Closed,currency 1,-1198,0,172.0,172.0,,0,154000.0,0.0,26000.0,0.0,Consumer credit,-2468,
100014,5000035,Closed,currency 1,-680,0,1372.0,1372.0,8489.0,0,121000.0,0.0,19000.0,0.0,Consumer credit,-1610,
100014,5000036,Closed,currency 1,-525,0,-274.0,-274.0,,0,412000.0,0.0,21000.0,0.0,Consumer credit,-879,
100014,5000037,Closed,currency 1,-783,0,223.0,223.0,,0,122000.0,0.0,12000.0,0.0,Credit card,-2266,
100014,5000038,Active,currency 1,-1531,0,-596.0,,,0,406000.0,109000.0,124000.0,0.0,Credit card,-2225,19300.0
100015,5000039,Active,currency 1,-1515,0,-406.0,,,0,254000.0,82000.0,2000.0,0.0,Consumer credit,-2365,
100015,5000040,Closed,currency 1,-753,0,396.0,396.0,,0,181000.0,0.0,41000.0,0.0,Car loan,-93,
100015,5000041,Active,currency 1,-844,0,-210.0,,,0,45000.0,14000.0,17000.0,0.0,Mortgage,-1172,900.0
100015,5000042,Closed,currency 1,-846,0,956.0,956.0,,0,431000.0,0.0,50000.0,0.0,Consumer credit,-666,9100.0
100015,5000043,Closed,currency 1,-786,0,-476.0,-476.0,,0,276000.0,0.0,104000.0,0.0,Consumer credit,-269,9200.0
100015,5000044,Active,currency 1,-2767,0,-2492.0,,,0,141000.0,39000.0,38000.0,0.0,Consumer credit,-124,
100015,5000045,Closed,currency 1,-482,0,1163.0,1163.0,1129.0,0,500000.0,0.0,164000.0,0.0,Credit card,-35,26000.0
100015,5000046,Closed,currency 1,-1612,0,-288.0,-288.0,,0,217000.0,0.0,47000.0,0.0,Consumer credit,-1150,
100016,5000047,Active,currency 1,-216,0,1192.0,,85213.0,0,167000.0,52000.0,16000.0,0.0,Consumer credit,-75,
100016,5000048,Closed,currency 1,-112,33,1909.0,1909.0,1134.0,0,442000.0,0.0,78000.0,22100.0,Microloan,-2373,
100017,5000049,Closed,currency 1,-687,0,51.0,51.0,144464.0,0,31000.0,0.0,3000.0,0.0,Credit card,-749,
100017,5000050,Closed,currency 1,-987,0,81.0,81.0,1844.0,0,1149000.0,0.0,448000.0,0.0,Loan for business development,-1350,
100017,5000051,Closed,currency 1,-1220,0,-887.0,-887.0,,0,49000.0,0.0,0.0,0.0,Credit card,-2130,
100017,5000052,Closed,currency 1,-1058,0,1.0,1.0,,0,717000.0,0.0,104000.0,0.0,Credit card,-1389,20300.0
100018,5000053,Closed,currency 1,-957,0,-6.0,-6.0,,0,24000.0,0.0,3000.0,0.0,Credit card,-1255,
100018,5000054,Closed,currency 1,-2410,0,-746.0,-746.0,,0,519000.0,0.0,103000.0,0.0,Consumer credit,-1531,
100019,5000055,Active,currency 1,-715,0,413.0,,10909.0,0,100000.0,66000.0,33000.0,0.0,Credit card,-111,
100019,5000056,Active,currency 1,-55,0,861.0,,10628.0,0,796000.0,712000.0,13000.0,0.0,Consumer credit,-1034,
100020,5000057,Active,currency 1,-737,0,733.0,,,0,172000.0,63000.0,55000.0,0.0,Consumer credit,-1800,
100022,5000058,Closed,currency 1,-1650,0,-970.0,-970.0,,0,42000.0,0.0,0.0,0.0,Consumer credit,-497,700.0
100022,5000059,Active,currency 1,-2174,0,-1268.0,,,0,325000.0,24000.0,99000.0,0.0,Consumer credit,-1320,
100024,5000060,Closed,currency 1,-79,0,1360.0,1360.0,2576.0,0,1733000.0,0.0,643000.0,0.0,Consumer credit,-142,
100024,5000061,Active,currency 1,-1886,0,-859.0,,,0,114000.0,87000.0,17000.0,0.0,Consumer credit,-1607,
100025,5000062,Closed,currency 1,-1744,0,-1349.0,-1349.0,41393.0,0,56000.0,0.0,10000.0,0.0,Consumer credit,-2457,
100025,5000063,Closed,currency 1,-1556,0,419.0,419.0,602.0,0,65000.0,0.0,7000.0,0.0,Consumer credit,-1919,
100026,5000064,Closed,currency 1,-1491,0,-1099.0,-1099.0,,0,414000.0,0.0,122000.0,0.0,Credit card,-682,12900.0
100026,5000065,Closed,currency 1,-167,0,763.0,763.0,,0,189000.0,0.0,51000.0,0.0,Consumer credit,-1699,3700.0
100026,5000066,Closed,currency 1,-2355,0,-227.0,-227.0,3516.0,0,279000.0,0.0,110000.0,0.0,Credit card,-1980,15200.0
100026,5000067,Active,currency 1,-1926,0,-1388.0,,,0,27000.0,10000.0,2000.0,0.0,Microloan,-828,
100027,5000068,Closed,currency 1,-289,149,1288.0,1288.0,7390.0,0,539000.0,0.0,107000.0,26950.0,Consumer credit,-801,23800.0
100027,5000069,Closed,currency 1,-23,100,1529.0,1529.0,,0,137000.0,0.0,4000.0,6850.0,Consumer credit,-2236,
100027,5000070,Active,currency 1,-930,0,767.0,,,0,122000.0,90000.0,19000.0,0.0,Credit card,-2162,
100028,5000071,Closed,currency 1,-2666,0,-1095.0,-1095.0,,0,51000.0,0.0,14000.0,0.0,Mortgage,-263,
100028,5000072,Closed,currency 1,-1046,0,479.0,479.0,,0,731000.0,0.0,263000.0,0.0,Credit card,-1512,
100029,5000073,Closed,currency 1,-1809,0,-817.0,-817.0,,0,3154000.0,0.0,353000.0,0.0,Consumer credit,-1172,
100029,5000074,Closed,currency 1,-1909,122,7.0,7.0,,0,233000.0,0.0,63000.0,11650.0,Consumer credit,-62,
100029,5000075,Closed,currency 1,-1158,0,323.0,323.0,,0,255000.0,0.0,17000.0,0.0,Consumer credit,-2120,
100029,5000076,Active,currency 1,-859,0,-305.0,,,0,284000.0,198000.0,2000.0,0.0,Loan for business development,-782,
100030,5000077,Closed,currency 1,-2000,0,-1242.0,-1242.0,,0,462000.0,0.0,165000.0,0.0,Car loan,-1531,
100031,5000078,Closed,currency 1,-1079,0,-787.0,-787.0,29712.0,0,78000.0,0.0,22000.0,0.0,Car loan,-1520,
100031,5000079,Closed,currency 1,-2882,0,-1227.0,-1227.0,,0,2285000.0,0.0,380000.0,0.0,Consumer credit,-2084,
100032,5000080,Active,currency 1,-1016,0,549.0,,4459.0,0,16000.0,6000.0,2000.0,0.0,Consumer credit,-1891,
100032,5000081,Active,currency 1,-240,136,518.0,,,0,366000.0,314000.0,11000.0,18300.0,Consumer credit,-136,
