SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1000001,100001,1.0,1,-1437.0,-1443.0,26900.0,26900.0
1000001,100001,1.0,2,-1407.0,-1415.0,26900.0,26900.0
1000001,100001,1.0,3,-1377.0,-1383.0,26900.0,26900.0
1000001,100001,1.0,4,-1347.0,-1350.0,26900.0,26900.0
1000001,100001,1.0,5,-1317.0,-1325.0,26900.0,26900.0
1000001,100001,1.0,6,-1287.0,-1289.0,26900.0,18771.8
1000001,100001,1.0,7,-1257.0,-1261.0,26900.0,26900.0
1000001,100001,1.0,8,-1227.0,-1236.0,26900.0,26900.0
1000001,100001,1.0,9,-1197.0,-1203.0,26900.0,26900.0
1000001,100001,1.0,10,-1167.0,-1172.0,26900.0,26900.0
1000003,100002,1.0,1,-1468.0,-1474.0,47833.33,47833.33
1000003,100002,1.0,2,-1438.0,-1442.0,47833.33,47833.33
1000003,100002,1.0,3,-1408.0,-1415.0,47833.33,47833.33
1000003,100002,1.0,4,-1378.0,-1380.0,47833.33,47833.33
1000003,100002,1.0,5,-1348.0,-1355.0,47833.33,47833.33
1000003,100002,1.0,6,-1318.0,-1326.0,47833.33,47833.33
1000004,100002,1.0,1,-899.0,-899.0,5166.67,5166.67
1000004,100002,1.0,2,-869.0,-878.0,5166.67,5166.67
1000004,100002,1.0,3,-839.0,-843.0,5166.67,5166.67
1000004,100002,1.0,4,-809.0,-811.0,5166.67,5166.67
1000004,100002,1.0,5,-779.0,-780.0,5166.67,5166.67
1000004,100002,1.0,6,-749.0,-755.0,5166.67,5166.67
1000005,100002,1.0,1,-636.0,-644.0,3111.11,3111.11
1000005,100002,1.0,2,-606.0,-614.0,3111.11,3111.11
1000005,100002,1.0,3,-576.0,-582.0,3111.11,3111.11
1000005,100002,1.0,4,-546.0,-555.0,3111.11,3111.11
1000005,100002,1.0,5,-516.0,-522.0,3111.11,3111.11
1000005,100002,1.0,6,-486.0,-494.0,3111.11,3111.11
1000005,100002,1.0,7,-456.0,-461.0,3111.11,3111.11
1000005,100002,1.0,8,-426.0,-428.0,3111.11,3111.11
1000005,100002,1.0,9,-396.0,-402.0,3111.11,3111.11
1000005,100002,1.0,10,-366.0,-369.0,3111.11,3111.11
1000005,100002,1.0,11,-336.0,-344.0,3111.11,3111.11
1000005,100002,1.0,12,-306.0,-313.0,3111.11,3111.11
1000005,100002,1.0,13,-276.0,-281.0,3111.11,3111.11
1000005,100002,1.0,14,-246.0,-254.0,3111.11,3111.11
1000005,100002,1.0,15,-216.0,-217.0,3111.11,3111.11
1000005,100002,1.0,16,-186.0,-195.0,3111.11,3111.11
1000005,100002,1.0,17,-156.0,-161.0,3111.11,3111.11
1000005,100002,1.0,18,-126.0,-127.0,3111.11,3111.11
1000006,100004,1.0,1,-1798.0,-1806.0,44166.67,44166.67
1000006,100004,1.0,2,-1768.0,-1768.0,44166.67,44166.67
1000006,100004,1.0,3,-1738.0,-1747.0,44166.67,44166.67
1000006,100004,1.0,4,-1708.0,-1711.0,44166.67,44166.67
1000006,100004,1.0,5,-1678.0,-1686.0,44166.67,44166.67
1000006,100004,1.0,6,-1648.0,-1655.0,44166.67,44166.67
1000007,100004,1.0,1,-2557.0,-2564.0,3166.67,3166.67
1000007,100004,1.0,2,-2527.0,-2528.0,3166.67,3166.67
1000007,100004,1.0,3,-2497.0,-2505.0,3166.67,3166.67
1000007,100004,1.0,4,-2467.0,-2472.0,3166.67,3166.67
1000007,100004,1.0,5,-2437.0,-2443.0,3166.67,3166.67
1000007,100004,1.0,6,-2407.0,-2414.0,3166.67,3166.67
1000008,100004,1.0,1,-790.0,-791.0,7166.67,7166.67
1000008,100004,1.0,2,-760.0,-762.0,7166.67,7166.67
1000008,100004,1.0,3,-730.0,-733.0,7166.67,7166.67
1000008,100004,1.0,4,-700.0,-700.0,7166.67,7166.67
1000008,100004,1.0,5,-670.0,-675.0,7166.67,7166.67
1000008,100004,1.0,6,-640.0,-644.0,7166.67,7166.67
1000008,100004,1.0,7,-610.0,-613.0,7166.67,7166.67
1000008,100004,1.0,8,-580.0,-582.0,7166.67,7166.67
1000008,100004,1.0,9,-550.0,-553.0,7166.67,7166.67
1000008,100004,1.0,10,-520.0,-520.0,7166.67,7166.67
1000008,100004,1.0,11,-490.0,-490.0,7166.67,7166.67
1000008,100004,1.0,12,-460.0,-462.0,7166.67,7166.67
1000008,100004,1.0,13,-430.0,-432.0,7166.67,7166.67
1000008,100004,1.0,14,-400.0,-401.0,7166.67,7166.67
1000008,100004,1.0,15,-370.0,-379.0,7166.67,7166.67
1000008,100004,1.0,16,-340.0,-348.0,7166.67,7166.67
1000008,100004,1.0,17,-310.0,-314.0,7166.67,7166.67
1000008,100004,1.0,18,-280.0,-285.0,7166.67,7166.67
1000008,100004,1.0,19,-250.0,-252.0,7166.67,7166.67
1000008,100004,1.0,20,-220.0,-223.0,7166.67,7166.67
1000008,100004,1.0,21,-190.0,-197.0,7166.67,7166.67
1000008,100004,1.0,22,-160.0,-166.0,7166.67,7166.67
1000008,100004,1.0,23,-130.0,-132.0,7166.67,7166.67
1000008,100004,1.0,24,-100.0,-104.0,7166.67,7166.67
1000009,100004,1.0,1,-2752.0,-2758.0,6500.0,6500.0
1000009,100004,1.0,2,-2722.0,-2729.0,6500.0,6500.0
1000009,100004,1.0,3,-2692.0,-2697.0,6500.0,6500.0
1000009,100004,1.0,4,-2662.0,-2628.0,6500.0,6500.0
1000009,100004,1.0,5,-2632.0,-2636.0,6500.0,6500.0
1000009,100004,1.0,6,-2602.0,-2610.0,6500.0,6500.0
1000009,100004,1.0,7,-2572.0,-2580.0,6500.0,6500.0
1000009,100004,1.0,8,-2542.0,-2551.0,6500.0,6500.0
1000009,100004,1.0,9,-2512.0,-2517.0,6500.0,6500.0
1000009,100004,1.0,10,-2482.0,-2486.0,6500.0,6500.0
1000009,100004,1.0,11,-2452.0,-2460.0,6500.0,6500.0
1000009,100004,1.0,12,-2422.0,-2422.0,6500.0,6500.0
1000009,100004,1.0,13,-2392.0,-2393.0,6500.0,6500.0
1000009,100004,1.0,14,-2362.0,-2366.0,6500.0,6500.0
1000009,100004,1.0,15,-2332.0,-2341.0,6500.0,6500.0
1000009,100004,1.0,16,-2302.0,-2265.0,6500.0,6500.0
1000009,100004,1.0,17,-2272.0,-2278.0,6500.0,6500.0
1000009,100004,1.0,18,-2242.0,-2248.0,6500.0,6500.0
1000009,100004,1.0,19,-2212.0,-2216.0,6500.0,6500.0
1000009,100004,1.0,20,-2182.0,-2184.0,6500.0,6500.0
1000009,100004,1.0,21,-2152.0,-2160.0,6500.0,6500.0
1000009,100004,1.0,22,-2122.0,-2127.0,6500.0,6500.0
1000009,100004,1.0,23,-2092.0,-2092.0,6500.0,6500.0
1000009,100004,1.0,24,-2062.0,-2066.0,6500.0,6500.0
1000014,100006,1.0,1,-861.0,-868.0,25200.0,25200.0
1000014,100006,1.0,2,-831.0,-797.0,25200.0,25200.0
1000014,100006,1.0,3,-801.0,-810.0,25200.0,25200.0
1000014,100006,1.0,4,-771.0,-775.0,25200.0,25200.0
1000014,100006,1.0,5,-741.0,-744.0,25200.0,25200.0
1000014,100006,1.0,6,-711.0,-720.0,25200.0,25200.0
1000014,100006,1.0,7,-681.0,-674.0,25200.0,25200.0
1000014,100006,1.0,8,-651.0,-657.0,25200.0,25200.0
1000014,100006,1.0,9,-621.0,-626.0,25200.0,25200.0
1000014,100006,1.0,10,-591.0,-600.0,25200.0,25200.0
1000015,100007,1.0,1,-905.0,-908.0,23700.0,23700.0
1000015,100007,1.0,2,-875.0,-879.0,23700.0,23700.0
1000015,100007,1.0,3,-845.0,-848.0,23700.0,23700.0
1000015,100007,1.0,4,-815.0,-819.0,23700.0,23700.0
1000015,100007,1.0,5,-785.0,-793.0,23700.0,23700.0
1000015,100007,1.0,6,-755.0,-733.0,23700.0,23700.0
1000015,100007,1.0,7,-725.0,-733.0,23700.0,23700.0
1000015,100007,1.0,8,-695.0,-700.0,23700.0,13029.99
1000015,100007,1.0,9,-665.0,-674.0,23700.0,23700.0
1000015,100007,1.0,10,-635.0,-639.0,23700.0,23700.0
1000016,100007,1.0,1,-2190.0,-2196.0,5416.67,5416.67
1000016,100007,1.0,2,-2160.0,-2128.0,5416.67,5416.67
1000016,100007,1.0,3,-2130.0,-2136.0,5416.67,5416.67
1000016,100007,1.0,4,-2100.0,-2056.0,5416.67,5416.67
1000016,100007,1.0,5,-2070.0,-2075.0,5416.67,4333.51
1000016,100007,1.0,6,-2040.0,-2044.0,5416.67,5416.67
1000016,100007,1.0,7,-2010.0,-2015.0,5416.67,5416.67
1000016,100007,1.0,8,-1980.0,-1982.0,5416.67,3151.62
1000016,100007,1.0,9,-1950.0,-1950.0,5416.67,5416.67
1000016,100007,1.0,10,-1920.0,-1929.0,5416.67,5416.67
1000016,100007,1.0,11,-1890.0,-1895.0,5416.67,5416.67
1000016,100007,1.0,12,-1860.0,-1868.0,5416.67,5416.67
1000016,100007,1.0,13,-1830.0,-1837.0,5416.67,5416.67
1000016,100007,1.0,14,-1800.0,-1808.0,5416.67,5416.67
1000016,100007,1.0,15,-1770.0,-1772.0,5416.67,5416.67
1000016,100007,1.0,16,-1740.0,-1740.0,5416.67,5416.67
1000016,100007,1.0,17,-1710.0,-1714.0,5416.67,5416.67
1000016,100007,1.0,18,-1680.0,-1685.0,5416.67,5416.67
1000016,100007,1.0,19,-1650.0,-1658.0,5416.67,5416.67
1000016,100007,1.0,20,-1620.0,-1570.0,5416.67,1713.98
1000016,100007,1.0,21,-1590.0,-1598.0,5416.67,5416.67
1000016,100007,1.0,22,-1560.0,-1565.0,5416.67,5416.67
1000016,100007,1.0,23,-1530.0,-1531.0,5416.67,5416.67
1000016,100007,1.0,24,-1500.0,-1504.0,5416.67,5416.67
1000017,100007,1.0,1,-482.0,-491.0,9500.0,9500.0
1000017,100007,1.0,2,-452.0,-457.0,9500.0,9500.0
1000017,100007,1.0,3,-422.0,-427.0,9500.0,9500.0
1000017,100007,1.0,4,-392.0,-400.0,9500.0,9500.0
1000017,100007,1.0,5,-362.0,-363.0,9500.0,9500.0
1000017,100007,1.0,6,-332.0,-338.0,9500.0,9500.0
1000017,100007,1.0,7,-302.0,-303.0,9500.0,9500.0
1000017,100007,1.0,8,-272.0,-273.0,9500.0,9500.0
1000017,100007,1.0,9,-242.0,-249.0,9500.0,9500.0
1000017,100007,1.0,10,-212.0,-215.0,9500.0,9500.0
1000019,100008,1.0,1,-1191.0,-1191.0,29000.0,24200.82
1000019,100008,1.0,2,-1161.0,-1165.0,29000.0,29000.0
1000019,100008,1.0,3,-1131.0,-1137.0,29000.0,26285.27
1000019,100008,1.0,4,-1101.0,-1109.0,29000.0,29000.0
1000019,100008,1.0,5,-1071.0,-1071.0,29000.0,29000.0
1000019,100008,1.0,6,-1041.0,-1048.0,29000.0,29000.0
1000019,100008,1.0,7,-1011.0,-1013.0,29000.0,19696.17
1000019,100008,1.0,8,-981.0,-981.0,29000.0,29000.0
1000019,100008,1.0,9,-951.0,-914.0,29000.0,29000.0
1000019,100008,1.0,10,-921.0,-887.0,29000.0,29000.0
1000024,100008,1.0,1,-793.0,-798.0,10666.67,10666.67
1000024,100008,1.0,2,-763.0,-739.0,10666.67,10666.67
