SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_STATUS,AMT_APPLICATION,AMT_CREDIT,AMT_ANNUITY,AMT_DOWN_PAYMENT,RATE_DOWN_PAYMENT,DAYS_DECISION,CNT_PAYMENT,NAME_YIELD_GROUP
1000000,100001,Refused,60000.0,0.0,0.0,0.0,0.0952,-2635,18.0,low_action
1000001,100001,Approved,267000.0,269000.0,16700.0,16300.0,0.0865,-1497,10.0,middle
1000002,100001,Refused,93000.0,0.0,0.0,0.0,0.1494,-822,18.0,middle
1000003,100002,Approved,330000.0,287000.0,9500.0,46200.0,0.2145,-1528,6.0,high
1000004,100002,Approved,36000.0,31000.0,1800.0,500.0,0.1896,-959,6.0,middle
1000005,100002,Approved,62000.0,56000.0,1800.0,11300.0,0.0167,-696,18.0,XNA
1000006,100004,Approved,329000.0,265000.0,7700.0,27100.0,0.0176,-1858,6.0,XNA
1000007,100004,Approved,25000.0,19000.0,500.0,3800.0,0.176,-2617,6.0,low_action
1000008,100004,Approved,186000.0,172000.0,10100.0,17100.0,0.1999,-850,24.0,XNA
1000009,100004,Approved,169000.0,156000.0,4600.0,23700.0,0.1698,-2812,24.0,middle
1000010,100005,Refused,467000.0,0.0,0.0,0.0,0.1569,-2552,6.0,XNA
1000011,100005,Refused,81000.0,0.0,0.0,0.0,0.0619,-782,6.0,low_normal
1000012,100006,Canceled,65000.0,52000.0,3300.0,9600.0,0.1836,-1094,36.0,high
1000013,100006,Canceled,798000.0,743000.0,24900.0,91700.0,0.0301,-737,24.0,low_action
1000014,100006,Approved,241000.0,252000.0,7800.0,26700.0,0.0798,-921,10.0,high
1000015,100007,Approved,296000.0,237000.0,6000.0,5600.0,0.1043,-965,10.0,XNA
1000016,100007,Approved,155000.0,130000.0,5200.0,600.0,0.179,-2250,48.0,low_action
1000017,100007,Approved,106000.0,95000.0,3200.0,3000.0,0.1979,-542,10.0,low_action
1000018,100007,Refused,189000.0,0.0,0.0,0.0,0.108,-1726,24.0,low_action
1000019,100008,Approved,324000.0,290000.0,8900.0,5300.0,0.1131,-1251,10.0,high
1000020,100008,Refused,163000.0,0.0,0.0,0.0,0.1541,-2138,6.0,low_normal
1000021,100008,Refused,234000.0,0.0,0.0,0.0,0.1188,-1085,18.0,XNA
1000022,100008,Refused,66000.0,0.0,0.0,0.0,0.1264,-1317,24.0,high
1000023,100008,Refused,70000.0,0.0,0.0,0.0,0.1536,-2501,48.0,low_normal
1000024,100008,Approved,76000.0,64000.0,2100.0,8600.0,0.1831,-853,6.0,low_normal
1000025,100008,Approved,30000.0,24000.0,600.0,4400.0,0.2219,-1225,24.0,middle
1000026,100008,Refused,703000.0,0.0,0.0,0.0,0.0529,-1807,24.0,low_normal
1000027,100009,Refused,179000.0,0.0,0.0,0.0,0.0857,-1803,36.0,XNA
1000028,100009,Approved,134000.0,102000.0,3100.0,16900.0,0.1502,-588,24.0,XNA
1000029,100009,Canceled,100000.0,89000.0,3800.0,4000.0,0.0782,-226,48.0,low_normal
1000030,100009,Refused,41000.0,0.0,0.0,0.0,0.1405,-448,24.0,low_action
1000031,100010,Approved,165000.0,142000.0,3800.0,3800.0,0.2497,-2679,36.0,low_action
1000032,100010,Approved,54000.0,45000.0,1300.0,4000.0,0.0916,-1058,6.0,middle
1000033,100011,Canceled,92000.0,92000.0,2600.0,15400.0,0.1387,-590,10.0,XNA
1000034,100011,Canceled,319000.0,259000.0,6800.0,31500.0,0.0406,-2458,12.0,XNA
1000035,100011,Refused,660000.0,0.0,0.0,0.0,0.0673,-1975,36.0,low_normal
1000036,100011,Approved,111000.0,96000.0,2600.0,4500.0,0.0949,-344,10.0,low_normal
1000037,100012,Canceled,298000.0,271000.0,8100.0,28500.0,0.0835,-2492,24.0,middle
1000038,100012,Approved,68000.0,56000.0,5000.0,1800.0,0.1416,-33,18.0,middle
1000039,100013,Refused,71000.0,0.0,0.0,0.0,0.0878,-775,18.0,middle
1000040,100013,Approved,48000.0,48000.0,1200.0,900.0,0.1757,-1663,18.0,low_normal
