column,dtype,n_missing,pct_missing,n_unique
COMMONAREA_MODE,float64,214865,69.87,3128
COMMONAREA_MEDI,float64,214865,69.87,3202
COMMONAREA_AVG,float64,214865,69.87,3181
NONLIVINGAPARTMENTS_MODE,float64,213514,69.43,167
NONLIVINGAPARTMENTS_MEDI,float64,213514,69.43,214
NONLIVINGAPARTMENTS_AVG,float64,213514,69.43,386
FONDKAPREMONT_MODE,object,210295,68.39,4
LIVINGAPARTMENTS_AVG,float64,210199,68.35,1868
LIVINGAPARTMENTS_MODE,float64,210199,68.35,736
LIVINGAPARTMENTS_MEDI,float64,210199,68.35,1097
FLOORSMIN_MEDI,float64,208642,67.85,47
FLOORSMIN_AVG,float64,208642,67.85,305
FLOORSMIN_MODE,float64,208642,67.85,25
YEARS_BUILD_AVG,float64,204488,66.5,149
YEARS_BUILD_MEDI,float64,204488,66.5,151
YEARS_BUILD_MODE,float64,204488,66.5,154
OWN_CAR_AGE,float64,202929,65.99,62
LANDAREA_MODE,float64,182590,59.38,3563
LANDAREA_MEDI,float64,182590,59.38,3560
LANDAREA_AVG,float64,182590,59.38,3527
BASEMENTAREA_MODE,float64,179943,58.52,3841
BASEMENTAREA_AVG,float64,179943,58.52,3780
BASEMENTAREA_MEDI,float64,179943,58.52,3772
EXT_SOURCE_1,float64,173378,56.38,114584
NONLIVINGAREA_MODE,float64,169682,55.18,3327
NONLIVINGAREA_MEDI,float64,169682,55.18,3323
NONLIVINGAREA_AVG,float64,169682,55.18,3290
ELEVATORS_MODE,float64,163891,53.3,26
ELEVATORS_MEDI,float64,163891,53.3,46
ELEVATORS_AVG,float64,163891,53.3,257
WALLSMATERIAL_MODE,object,156341,50.84,7
APARTMENTS_AVG,float64,156061,50.75,2339
APARTMENTS_MEDI,float64,156061,50.75,1148
APARTMENTS_MODE,float64,156061,50.75,760
ENTRANCES_AVG,float64,154828,50.35,285
ENTRANCES_MODE,float64,154828,50.35,30
ENTRANCES_MEDI,float64,154828,50.35,46
LIVINGAREA_MODE,float64,154350,50.19,5301
LIVINGAREA_MEDI,float64,154350,50.19,5281
