rule_id,conditions,n_conditions,predicted_default_pct,observed_default_pct,n_applicants,coverage_pct,risk_band
12,average external credit score > 0.395 AND average external credit score > 0.518 AND combined external credit score > 0.195 AND average days past due <= 0.134,4,2.15,2.16,8469,16.94,Low
13,average external credit score > 0.395 AND average external credit score > 0.518 AND combined external credit score > 0.195 AND average days past due > 0.134,4,3.42,3.37,4360,8.72,Low
10,average external credit score > 0.395 AND average external credit score > 0.518 AND combined external credit score <= 0.195 AND share of instalments paid late <= 0.091,4,4.51,4.17,9566,19.13,Low
8,average external credit score > 0.395 AND average external credit score <= 0.518 AND goods-value-to-loan ratio > 0.863 AND share of instalments paid late <= 0.076,4,6.24,6.17,5465,10.93,Low
11,average external credit score > 0.395 AND average external credit score > 0.518 AND combined external credit score <= 0.195 AND share of instalments paid late > 0.091,4,7.11,6.24,3430,6.86,Low
7,average external credit score > 0.395 AND average external credit score <= 0.518 AND goods-value-to-loan ratio <= 0.863 AND implied loan term in years > 21.456,4,8.33,7.76,2474,4.95,Medium
9,average external credit score > 0.395 AND average external credit score <= 0.518 AND goods-value-to-loan ratio > 0.863 AND share of instalments paid late > 0.076,4,8.99,8.34,2674,5.35,Medium
5,average external credit score <= 0.395 AND combined external credit score > 0.023 AND goods-value-to-loan ratio > 0.826 AND share of adult life in current job > 0.120,4,12.12,11.93,2866,5.73,Medium
6,average external credit score > 0.395 AND average external credit score <= 0.518 AND goods-value-to-loan ratio <= 0.863 AND implied loan term in years <= 21.456,4,12.56,11.58,2763,5.53,Medium
4,average external credit score <= 0.395 AND combined external credit score > 0.023 AND goods-value-to-loan ratio > 0.826 AND share of adult life in current job <= 0.120,4,16.33,15.27,2587,5.17,Medium
3,average external credit score <= 0.395 AND combined external credit score > 0.023 AND goods-value-to-loan ratio <= 0.826,3,20.63,19.45,1722,3.44,High
2,average external credit score <= 0.395 AND combined external credit score <= 0.023 AND average external credit score > 0.247,3,20.84,20.25,1694,3.39,High
1,average external credit score <= 0.395 AND combined external credit score <= 0.023 AND average external credit score <= 0.247,3,31.25,30.73,1930,3.86,High
